ID,OBRA,CREATED,DESCRICAO,CLASSE_COMP,INSUMO_ATUAL,IP_D,UNIDADE,COEF_SIURB
3,Obra A,2021-02-04 11:44:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.12361111111111,H/M2,1.9449
4,Obra A,2021-02-04 12:23:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.03478260869565,H/M2,1.9449
5,Obra A,2021-02-04 12:40:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.03703703703704,H/M2,1.9449
6,Obra A,2021-02-05 10:09:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.803137651821862,H/M2,1.9449
7,Obra A,2021-02-05 10:11:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.8030303030303,H/M2,1.9449
8,Obra A,2021-02-08 12:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.14583333333333,H/M2,1.9449
9,Obra A,2021-02-08 12:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.39218009478673,H/M2,1.9449
10,Obra A,2021-02-09 12:20:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.865051903114187,H/M2,1.9449
11,Obra A,2021-02-09 12:25:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.926388888888889,H/M2,1.9449
12,Obra A,2021-02-10 11:40:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.69148936170213,H/M2,1.9449
13,Obra A,2021-02-11 12:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,3.15057251908397,H/M2,1.9449
14,Obra A,2021-02-11 12:37:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,3.04752066115702,H/M2,1.9449
15,Obra A,2021-02-12 11:02:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.55555555555556,H/M2,1.9449
16,Obra A,2021-02-12 11:57:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.901960784313726,H/M2,1.9449
17,Obra A,2021-02-12 12:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,3.87339055793991,H/M2,1.9449
18,Obra A,2021-02-15 09:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.597014925373134,H/M2,1.9449
19,Obra A,2021-02-15 11:15:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.769230769230769,H/M2,1.9449
20,Obra A,2021-02-15 11:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.73776223776224,H/M2,1.9449
21,Obra A,2021-02-15 11:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.765625,H/M2,1.9449
22,Obra A,2021-02-15 11:45:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.61904761904762,H/M2,1.9449
23,Obra A,2021-02-17 08:15:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.588235294117647,H/M2,1.9449
24,Obra A,2021-02-17 10:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.2012987012987,H/M2,1.9449
25,Obra A,2021-02-17 11:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.83381088825215,H/M2,1.9449
26,Obra A,2021-02-17 11:47:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.2396694214876,H/M2,1.9449
27,Obra A,2021-02-17 14:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.489795918367347,H/M2,1.9449
28,Obra A,2021-02-18 09:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.89393939393939,H/M2,1.9449
29,Obra A,2021-02-18 11:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.666666666666667,H/M2,1.9449
30,Obra A,2021-02-18 11:40:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.925555555555556,H/M2,1.9449
31,Obra A,2021-02-18 12:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.50208623087622,H/M2,1.9449
32,Obra A,2021-02-26 08:52:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.17647058823529,H/M2,1.9449
33,Obra A,2021-02-26 08:55:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.797916666666667,H/M2,1.9449
34,Obra A,2021-02-26 12:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.50300601202405,H/M2,1.9449
